Adapter Name,Banner,Video,Native,Audio,File Path
33across,Yes,Yes,No,No,modules/33acrossBidAdapter.js
360playvid,Yes,Yes,Yes,No,modules/360playvidBidAdapter.js
a1Media,Yes,Yes,Yes,No,modules/a1MediaBidAdapter.js
a4g,Yes,No,No,No,modules/a4gBidAdapter.js
ablida,Yes,Yes,Yes,No,modules/ablidaBidAdapter.js
acuityads,Yes,Yes,Yes,No,modules/acuityadsBidAdapter.js
ad2iction,Yes,No,No,No,modules/ad2ictionBidAdapter.js
adWMG,Yes,No,No,No,modules/adWMGBidAdapter.js
adagio,Yes,Yes,Yes,No,modules/adagioBidAdapter.js
adbutler,Yes,No,No,No,modules/adbutlerBidAdapter.js
addefend,Yes,No,No,No,modules/addefendBidAdapter.js
adf,Yes,Yes,Yes,No,modules/adfBidAdapter.js
adfusion,Yes,Yes,No,No,modules/adfusionBidAdapter.js
adgeneration,Yes,Yes,Yes,No,modules/adgenerationBidAdapter.js
adgrid,Yes,Yes,No,No,modules/adgridBidAdapter.js
adhash,Yes,Yes,No,No,modules/adhashBidAdapter.js
adhese,Yes,Yes,No,No,modules/adheseBidAdapter.js
adipolo,Yes,Yes,No,No,modules/adipoloBidAdapter.js
adkernel,Yes,Yes,Yes,No,modules/adkernelBidAdapter.js
adkernelAdn,Yes,Yes,No,No,modules/adkernelAdnBidAdapter.js
admaru,Yes,No,No,No,modules/admaruBidAdapter.js
admatic,Yes,Yes,Yes,No,modules/admaticBidAdapter.js
admedia,Yes,No,No,No,modules/admediaBidAdapter.js
admixer,Yes,Yes,Yes,No,modules/admixerBidAdapter.js
adnow,Yes,No,Yes,No,modules/adnowBidAdapter.js
adnuntius,Yes,Yes,Yes,No,modules/adnuntiusBidAdapter.js
adot,Yes,Yes,Yes,No,modules/adotBidAdapter.js
adpartner,Yes,No,No,No,modules/adpartnerBidAdapter.js
adplus,Yes,No,No,No,modules/adplusBidAdapter.js
adpone,Yes,No,No,No,modules/adponeBidAdapter.js
adprime,Yes,Yes,Yes,No,modules/adprimeBidAdapter.js
adquery,Yes,No,No,No,modules/adqueryBidAdapter.js
adrelevantis,Yes,Yes,Yes,No,modules/adrelevantisBidAdapter.js
adrino,Yes,No,Yes,No,modules/adrinoBidAdapter.js
adriver,Yes,Yes,No,No,modules/adriverBidAdapter.js
ads_interactive,Yes,Yes,Yes,No,modules/ads_interactiveBidAdapter.js
adspirit,Yes,No,Yes,No,modules/adspiritBidAdapter.js
adstir,Yes,No,No,No,modules/adstirBidAdapter.js
adtarget,Yes,Yes,No,No,modules/adtargetBidAdapter.js
adtelligent,Yes,Yes,No,Yes,modules/adtelligentBidAdapter.js
adtrgtme,Yes,No,No,No,modules/adtrgtmeBidAdapter.js
adtrue,Yes,Yes,Yes,No,modules/adtrueBidAdapter.js
aduptech,Yes,No,Yes,No,modules/aduptechBidAdapter.js
advangelists,Yes,Yes,No,No,modules/advangelistsBidAdapter.js
advertising,Yes,Yes,No,No,modules/advertisingBidAdapter.js
adverxo,Yes,Yes,Yes,No,modules/adverxoBidAdapter.js
adxcg,Yes,Yes,Yes,No,modules/adxcgBidAdapter.js
adyoulike,Yes,Yes,Yes,No,modules/adyoulikeBidAdapter.js
afp,Yes,Yes,No,No,modules/afpBidAdapter.js
aidem,Yes,Yes,No,No,modules/aidemBidAdapter.js
aja,Yes,No,No,No,modules/ajaBidAdapter.js
akcelo,Yes,Yes,Yes,No,modules/akceloBidAdapter.js
alkimi,Yes,Yes,No,No,modules/alkimiBidAdapter.js
alvads,Yes,Yes,No,No,modules/alvadsBidAdapter.js
ampliffy,Yes,Yes,No,No,modules/ampliffyBidAdapter.js
amx,Yes,Yes,No,No,modules/amxBidAdapter.js
aniview,Yes,Yes,No,No,modules/aniviewBidAdapter.js
anyclip,Yes,Yes,No,No,modules/anyclipBidAdapter.js
apacdex,Yes,Yes,No,No,modules/apacdexBidAdapter.js
appStockSSP,Yes,Yes,Yes,No,modules/appStockSSPBidAdapter.js
appier,Yes,No,No,No,modules/appierBidAdapter.js
appnexus,Yes,Yes,Yes,No,modules/appnexusBidAdapter.js
appush,Yes,Yes,Yes,No,modules/appushBidAdapter.js
apstream,No,No,Yes,No,modules/apstreamBidAdapter.js
aseal,Yes,No,No,No,modules/asealBidAdapter.js
aso,Yes,Yes,Yes,No,modules/asoBidAdapter.js
astraone,Yes,No,No,No,modules/astraoneBidAdapter.js
audiencerun,Yes,No,No,No,modules/audiencerunBidAdapter.js
automatad,Yes,No,No,No,modules/automatadBidAdapter.js
axis,Yes,Yes,Yes,No,modules/axisBidAdapter.js
axonix,Yes,Yes,No,No,modules/axonixBidAdapter.js
beachfront,Yes,Yes,No,No,modules/beachfrontBidAdapter.js
bedigitech,Yes,No,Yes,No,modules/bedigitechBidAdapter.js
beop,Yes,No,No,No,modules/beopBidAdapter.js
between,No,Yes,No,No,modules/betweenBidAdapter.js
beyondmedia,Yes,Yes,Yes,No,modules/beyondmediaBidAdapter.js
biddo,Yes,No,No,No,modules/biddoBidAdapter.js
bidfuse,Yes,Yes,Yes,No,modules/bidfuseBidAdapter.js
bidglass,Yes,No,No,No,modules/bidglassBidAdapter.js
bidmatic,Yes,Yes,No,No,modules/bidmaticBidAdapter.js
bidscube,Yes,Yes,Yes,No,modules/bidscubeBidAdapter.js
bidtheatre,Yes,Yes,No,No,modules/bidtheatreBidAdapter.js
big-richmedia,Yes,Yes,Yes,No,modules/big-richmediaBidAdapter.js
bitmedia,Yes,No,No,No,modules/bitmediaBidAdapter.js
blasto,Yes,Yes,Yes,No,modules/blastoBidAdapter.js
bliink,Yes,Yes,No,No,modules/bliinkBidAdapter.js
blockthrough,Yes,No,No,No,modules/blockthroughBidAdapter.js
blue,Yes,No,No,No,modules/blueBidAdapter.js
bms,Yes,No,No,No,modules/bmsBidAdapter.js
bmtm,Yes,Yes,No,No,modules/bmtmBidAdapter.js
boldwin,Yes,Yes,Yes,No,modules/boldwinBidAdapter.js
brainx,Yes,Yes,No,No,modules/brainxBidAdapter.js
brave,Yes,Yes,Yes,No,modules/braveBidAdapter.js
brid,No,Yes,No,No,modules/bridBidAdapter.js
bridgewell,Yes,No,Yes,No,modules/bridgewellBidAdapter.js
browsi,No,Yes,No,No,modules/browsiBidAdapter.js
bucksense,Yes,No,No,No,modules/bucksenseBidAdapter.js
buzzoola,Yes,Yes,Yes,No,modules/buzzoolaBidAdapter.js
c1x,Yes,No,No,No,modules/c1xBidAdapter.js
